ts,event_strength,neg_boost,lambda,w_t
2019-03-13 05:00:00,0.0,1.0,0.997754419764241,0.0
2019-03-13 06:00:00,0.0,1.0,1.0,0.0
2019-03-13 07:00:00,0.0,1.0,1.0,0.0
2019-03-13 08:00:00,0.0,1.0,1.0,0.0
2019-03-13 09:00:00,0.0,1.0,1.0,0.0
2019-03-13 10:00:00,0.0,1.0,1.0,0.0
2019-03-13 11:00:00,0.0,1.0,1.0,0.0
2019-03-13 12:00:00,0.0,1.0,1.0,0.0
2019-03-13 13:00:00,0.0,1.0,1.0,0.0
2019-03-13 14:00:00,0.0,1.0,1.0,0.0
2019-03-13 15:00:00,0.0,1.0,1.0,0.0
2019-03-13 16:00:00,0.0,1.0,1.0,0.0
2019-03-13 17:00:00,0.0,1.0,1.0,0.0
2019-03-13 18:00:00,0.0,1.0,1.0,0.0
2019-03-13 19:00:00,0.0,1.0,1.0,0.0
2019-03-13 20:00:00,0.0,1.0,1.0,0.0
2019-03-13 22:00:00,0.0,1.0,1.0,0.0
2019-03-13 23:00:00,0.0,1.0,1.0,0.0
2019-03-14 00:00:00,0.0,1.0,1.0,0.0
2019-03-14 01:00:00,0.0,1.0,1.0,0.0
2019-03-14 02:00:00,0.0,1.0,1.0,0.0
2019-03-14 03:00:00,0.0,1.0,1.0,0.0
2019-03-14 04:00:00,0.0,1.0,1.0,0.0
2019-03-14 05:00:00,0.0,1.0,1.0,0.0
2019-03-14 06:00:00,0.0,1.0,1.0,0.0
2019-03-14 07:00:00,0.0,1.0,1.0,0.0
2019-03-14 08:00:00,0.0,1.0,1.0,0.0
2019-03-14 09:00:00,0.0,1.0,1.0,0.0
2019-03-14 10:00:00,0.0,1.0,1.0,0.0
2019-03-14 11:00:00,0.0,1.0,1.0,0.0
2019-03-14 12:00:00,0.0,1.0,1.0,0.0
2019-03-14 13:00:00,0.0,1.0,1.0,0.0
2019-03-14 14:00:00,0.0,1.0,1.0,0.0
2019-03-14 15:00:00,0.0,1.0,1.0,0.0
2019-03-14 16:00:00,0.0,1.0,1.0,0.0
2019-03-14 17:00:00,0.0,1.0,1.0,0.0
2019-03-14 18:00:00,0.0,1.0,1.0,0.0
2019-03-14 19:00:00,0.0,1.0,1.0,0.0
2019-03-14 20:00:00,0.0,1.0,1.0,0.0
2019-03-14 22:00:00,0.0,1.0,1.0,0.0
2019-03-14 23:00:00,0.0,1.0,1.0,0.0
2019-03-15 00:00:00,0.0,1.0,1.0,0.0
2019-03-15 01:00:00,0.0,1.0,1.0,0.0
2019-03-15 02:00:00,0.0,1.0,1.0,0.0
2019-03-15 03:00:00,0.0,1.0,1.0,0.0
2019-03-15 04:00:00,0.0,1.0,1.0,0.0
2019-03-15 05:00:00,0.0,1.0,1.0,0.0
2019-03-15 06:00:00,0.0,1.0,1.0,0.0
2019-03-15 07:00:00,0.0,1.0,1.0,0.0
2019-03-15 08:00:00,0.0,1.0,1.0,0.0
2019-03-15 09:00:00,0.0,1.0,1.0,0.0
2019-03-15 10:00:00,0.0,1.0,1.0,0.0
2019-03-15 11:00:00,0.0,1.0,1.0,0.0
2019-03-15 12:00:00,0.0,1.0,1.0,0.0
2019-03-15 13:00:00,0.0,1.0,1.0,0.0
2019-03-15 14:00:00,0.0,1.0,1.0,0.0
2019-03-15 15:00:00,0.0,1.0,1.0,0.0
2019-03-15 16:00:00,0.0,1.0,1.0,0.0
2019-03-15 17:00:00,0.0,1.0,1.0,0.0
2019-03-15 18:00:00,0.0,1.0,1.0,0.0
2019-03-15 19:00:00,0.0,1.0,1.0,0.0
2019-03-15 20:00:00,0.0,1.0,1.0,0.0
2019-03-17 22:00:00,0.0,1.0,1.0,0.0
